-1	today	IsEqualTo	monday
0	ReportID0	HasLocation	cleveland
0	ReportID0	HasWeather	stormy
0	ReportID0	HasLowTemp	20F
0	ReportID0	HasHighTemp	40F
0	ReportID0	HasDate	monday
0	cleveland	IsLocationOf	ReportID0
0	stormy	IsWeatherOf	ReportID0
0	20F	IsLowTempOf	ReportID0
0	40F	IsHighTempOf	ReportID0
0	monday	IsDateOf	ReportID0
0	ReportID1	HasLocation	cleveland
0	ReportID1	HasWeather	windy
0	ReportID1	HasLowTemp	80F
0	ReportID1	HasHighTemp	90F
0	ReportID1	HasDate	tuesday
0	cleveland	IsLocationOf	ReportID1
0	windy	IsWeatherOf	ReportID1
0	80F	IsLowTempOf	ReportID1
0	90F	IsHighTempOf	ReportID1
0	tuesday	IsDateOf	ReportID1
0	ReportID2	HasLocation	cleveland
0	ReportID2	HasWeather	cloudy
0	ReportID2	HasLowTemp	30F
0	ReportID2	HasHighTemp	40F
0	ReportID2	HasDate	wednesday
0	cleveland	IsLocationOf	ReportID2
0	cloudy	IsWeatherOf	ReportID2
0	30F	IsLowTempOf	ReportID2
0	40F	IsHighTempOf	ReportID2
0	wednesday	IsDateOf	ReportID2
0	ReportID3	HasLocation	cleveland
0	ReportID3	HasWeather	windy
0	ReportID3	HasLowTemp	30F
0	ReportID3	HasHighTemp	50F
0	ReportID3	HasDate	thursday
0	cleveland	IsLocationOf	ReportID3
0	windy	IsWeatherOf	ReportID3
0	30F	IsLowTempOf	ReportID3
0	50F	IsHighTempOf	ReportID3
0	thursday	IsDateOf	ReportID3
0	ReportID4	HasLocation	cleveland
0	ReportID4	HasWeather	clear skies
0	ReportID4	HasLowTemp	40F
0	ReportID4	HasHighTemp	60F
0	ReportID4	HasDate	friday
0	cleveland	IsLocationOf	ReportID4
0	clear skies	IsWeatherOf	ReportID4
0	40F	IsLowTempOf	ReportID4
0	60F	IsHighTempOf	ReportID4
0	friday	IsDateOf	ReportID4
0	ReportID5	HasLocation	cleveland
0	ReportID5	HasWeather	humid
0	ReportID5	HasLowTemp	70F
0	ReportID5	HasHighTemp	90F
0	ReportID5	HasDate	saturday
0	cleveland	IsLocationOf	ReportID5
0	humid	IsWeatherOf	ReportID5
0	70F	IsLowTempOf	ReportID5
0	90F	IsHighTempOf	ReportID5
0	saturday	IsDateOf	ReportID5
0	ReportID6	HasLocation	cleveland
0	ReportID6	HasWeather	drizzle
0	ReportID6	HasLowTemp	20F
0	ReportID6	HasHighTemp	40F
0	ReportID6	HasDate	sunday
0	cleveland	IsLocationOf	ReportID6
0	drizzle	IsWeatherOf	ReportID6
0	20F	IsLowTempOf	ReportID6
0	40F	IsHighTempOf	ReportID6
0	sunday	IsDateOf	ReportID6
1	ReportID7	HasLocation	menlo park
1	ReportID7	HasWeather	dry
1	ReportID7	HasLowTemp	60F
1	ReportID7	HasHighTemp	70F
1	ReportID7	HasDate	monday
1	menlo park	IsLocationOf	ReportID7
1	dry	IsWeatherOf	ReportID7
1	60F	IsLowTempOf	ReportID7
1	70F	IsHighTempOf	ReportID7
1	monday	IsDateOf	ReportID7
1	ReportID8	HasLocation	menlo park
1	ReportID8	HasWeather	foggy
1	ReportID8	HasLowTemp	70F
1	ReportID8	HasHighTemp	80F
1	ReportID8	HasDate	tuesday
1	menlo park	IsLocationOf	ReportID8
1	foggy	IsWeatherOf	ReportID8
1	70F	IsLowTempOf	ReportID8
1	80F	IsHighTempOf	ReportID8
1	tuesday	IsDateOf	ReportID8
1	ReportID9	HasLocation	menlo park
1	ReportID9	HasWeather	clear skies
1	ReportID9	HasLowTemp	30F
1	ReportID9	HasHighTemp	50F
1	ReportID9	HasDate	wednesday
1	menlo park	IsLocationOf	ReportID9
1	clear skies	IsWeatherOf	ReportID9
1	30F	IsLowTempOf	ReportID9
1	50F	IsHighTempOf	ReportID9
1	wednesday	IsDateOf	ReportID9
1	ReportID10	HasLocation	menlo park
1	ReportID10	HasWeather	rain
1	ReportID10	HasLowTemp	90F
1	ReportID10	HasHighTemp	100F
1	ReportID10	HasDate	thursday
1	menlo park	IsLocationOf	ReportID10
1	rain	IsWeatherOf	ReportID10
1	90F	IsLowTempOf	ReportID10
1	100F	IsHighTempOf	ReportID10
1	thursday	IsDateOf	ReportID10
1	ReportID11	HasLocation	menlo park
1	ReportID11	HasWeather	humid
1	ReportID11	HasLowTemp	60F
1	ReportID11	HasHighTemp	70F
1	ReportID11	HasDate	friday
1	menlo park	IsLocationOf	ReportID11
1	humid	IsWeatherOf	ReportID11
1	60F	IsLowTempOf	ReportID11
1	70F	IsHighTempOf	ReportID11
1	friday	IsDateOf	ReportID11
1	ReportID12	HasLocation	menlo park
1	ReportID12	HasWeather	dry
1	ReportID12	HasLowTemp	90F
1	ReportID12	HasHighTemp	100F
1	ReportID12	HasDate	saturday
1	menlo park	IsLocationOf	ReportID12
1	dry	IsWeatherOf	ReportID12
1	90F	IsLowTempOf	ReportID12
1	100F	IsHighTempOf	ReportID12
1	saturday	IsDateOf	ReportID12
1	ReportID13	HasLocation	menlo park
1	ReportID13	HasWeather	foggy
1	ReportID13	HasLowTemp	60F
1	ReportID13	HasHighTemp	70F
1	ReportID13	HasDate	sunday
1	menlo park	IsLocationOf	ReportID13
1	foggy	IsWeatherOf	ReportID13
1	60F	IsLowTempOf	ReportID13
1	70F	IsHighTempOf	ReportID13
1	sunday	IsDateOf	ReportID13
2	ReportID14	HasLocation	manhattan
2	ReportID14	HasWeather	dry
2	ReportID14	HasLowTemp	30F
2	ReportID14	HasHighTemp	40F
2	ReportID14	HasDate	monday
2	manhattan	IsLocationOf	ReportID14
2	dry	IsWeatherOf	ReportID14
2	30F	IsLowTempOf	ReportID14
2	40F	IsHighTempOf	ReportID14
2	monday	IsDateOf	ReportID14
2	ReportID15	HasLocation	manhattan
2	ReportID15	HasWeather	snow
2	ReportID15	HasLowTemp	60F
2	ReportID15	HasHighTemp	80F
2	ReportID15	HasDate	tuesday
2	manhattan	IsLocationOf	ReportID15
2	snow	IsWeatherOf	ReportID15
2	60F	IsLowTempOf	ReportID15
2	80F	IsHighTempOf	ReportID15
2	tuesday	IsDateOf	ReportID15
2	ReportID16	HasLocation	manhattan
2	ReportID16	HasWeather	stormy
2	ReportID16	HasLowTemp	70F
2	ReportID16	HasHighTemp	90F
2	ReportID16	HasDate	wednesday
2	manhattan	IsLocationOf	ReportID16
2	stormy	IsWeatherOf	ReportID16
2	70F	IsLowTempOf	ReportID16
2	90F	IsHighTempOf	ReportID16
2	wednesday	IsDateOf	ReportID16
2	ReportID17	HasLocation	manhattan
2	ReportID17	HasWeather	foggy
2	ReportID17	HasLowTemp	50F
2	ReportID17	HasHighTemp	60F
2	ReportID17	HasDate	thursday
2	manhattan	IsLocationOf	ReportID17
2	foggy	IsWeatherOf	ReportID17
2	50F	IsLowTempOf	ReportID17
2	60F	IsHighTempOf	ReportID17
2	thursday	IsDateOf	ReportID17
2	ReportID18	HasLocation	manhattan
2	ReportID18	HasWeather	hail
2	ReportID18	HasLowTemp	30F
2	ReportID18	HasHighTemp	50F
2	ReportID18	HasDate	friday
2	manhattan	IsLocationOf	ReportID18
2	hail	IsWeatherOf	ReportID18
2	30F	IsLowTempOf	ReportID18
2	50F	IsHighTempOf	ReportID18
2	friday	IsDateOf	ReportID18
2	ReportID19	HasLocation	manhattan
2	ReportID19	HasWeather	dry
2	ReportID19	HasLowTemp	30F
2	ReportID19	HasHighTemp	50F
2	ReportID19	HasDate	saturday
2	manhattan	IsLocationOf	ReportID19
2	dry	IsWeatherOf	ReportID19
2	30F	IsLowTempOf	ReportID19
2	50F	IsHighTempOf	ReportID19
2	saturday	IsDateOf	ReportID19
2	ReportID20	HasLocation	manhattan
2	ReportID20	HasWeather	stormy
2	ReportID20	HasLowTemp	30F
2	ReportID20	HasHighTemp	50F
2	ReportID20	HasDate	sunday
2	manhattan	IsLocationOf	ReportID20
2	stormy	IsWeatherOf	ReportID20
2	30F	IsLowTempOf	ReportID20
2	50F	IsHighTempOf	ReportID20
2	sunday	IsDateOf	ReportID20
3	ReportID21	HasLocation	grand rapids
3	ReportID21	HasWeather	warm
3	ReportID21	HasLowTemp	70F
3	ReportID21	HasHighTemp	80F
3	ReportID21	HasDate	monday
3	grand rapids	IsLocationOf	ReportID21
3	warm	IsWeatherOf	ReportID21
3	70F	IsLowTempOf	ReportID21
3	80F	IsHighTempOf	ReportID21
3	monday	IsDateOf	ReportID21
3	ReportID22	HasLocation	grand rapids
3	ReportID22	HasWeather	frost
3	ReportID22	HasLowTemp	50F
3	ReportID22	HasHighTemp	60F
3	ReportID22	HasDate	tuesday
3	grand rapids	IsLocationOf	ReportID22
3	frost	IsWeatherOf	ReportID22
3	50F	IsLowTempOf	ReportID22
3	60F	IsHighTempOf	ReportID22
3	tuesday	IsDateOf	ReportID22
3	ReportID23	HasLocation	grand rapids
3	ReportID23	HasWeather	windy
3	ReportID23	HasLowTemp	80F
3	ReportID23	HasHighTemp	90F
3	ReportID23	HasDate	wednesday
3	grand rapids	IsLocationOf	ReportID23
3	windy	IsWeatherOf	ReportID23
3	80F	IsLowTempOf	ReportID23
3	90F	IsHighTempOf	ReportID23
3	wednesday	IsDateOf	ReportID23
3	ReportID24	HasLocation	grand rapids
3	ReportID24	HasWeather	rain
3	ReportID24	HasLowTemp	60F
3	ReportID24	HasHighTemp	70F
3	ReportID24	HasDate	thursday
3	grand rapids	IsLocationOf	ReportID24
3	rain	IsWeatherOf	ReportID24
3	60F	IsLowTempOf	ReportID24
3	70F	IsHighTempOf	ReportID24
3	thursday	IsDateOf	ReportID24
3	ReportID25	HasLocation	grand rapids
3	ReportID25	HasWeather	humid
3	ReportID25	HasLowTemp	90F
3	ReportID25	HasHighTemp	100F
3	ReportID25	HasDate	friday
3	grand rapids	IsLocationOf	ReportID25
