-1	today	IsEqualTo	monday
0	ReportID0	HasLocation	alhambra
0	ReportID0	HasWeather	dew
0	ReportID0	HasLowTemp	30F
0	ReportID0	HasHighTemp	50F
0	ReportID0	HasDate	monday
0	alhambra	IsLocationOf	ReportID0
0	dew	IsWeatherOf	ReportID0
0	30F	IsLowTempOf	ReportID0
0	50F	IsHighTempOf	ReportID0
0	monday	IsDateOf	ReportID0
0	ReportID1	HasLocation	alhambra
0	ReportID1	HasWeather	snow
0	ReportID1	HasLowTemp	30F
0	ReportID1	HasHighTemp	40F
0	ReportID1	HasDate	tuesday
0	alhambra	IsLocationOf	ReportID1
0	snow	IsWeatherOf	ReportID1
0	30F	IsLowTempOf	ReportID1
0	40F	IsHighTempOf	ReportID1
0	tuesday	IsDateOf	ReportID1
0	ReportID2	HasLocation	alhambra
0	ReportID2	HasWeather	humid
0	ReportID2	HasLowTemp	50F
0	ReportID2	HasHighTemp	70F
0	ReportID2	HasDate	wednesday
0	alhambra	IsLocationOf	ReportID2
0	humid	IsWeatherOf	ReportID2
0	50F	IsLowTempOf	ReportID2
0	70F	IsHighTempOf	ReportID2
0	wednesday	IsDateOf	ReportID2
0	ReportID3	HasLocation	alhambra
0	ReportID3	HasWeather	snow
0	ReportID3	HasLowTemp	40F
0	ReportID3	HasHighTemp	60F
0	ReportID3	HasDate	thursday
0	alhambra	IsLocationOf	ReportID3
0	snow	IsWeatherOf	ReportID3
0	40F	IsLowTempOf	ReportID3
0	60F	IsHighTempOf	ReportID3
0	thursday	IsDateOf	ReportID3
0	ReportID4	HasLocation	alhambra
0	ReportID4	HasWeather	overcast
0	ReportID4	HasLowTemp	20F
0	ReportID4	HasHighTemp	30F
0	ReportID4	HasDate	friday
0	alhambra	IsLocationOf	ReportID4
0	overcast	IsWeatherOf	ReportID4
0	20F	IsLowTempOf	ReportID4
0	30F	IsHighTempOf	ReportID4
0	friday	IsDateOf	ReportID4
0	ReportID5	HasLocation	alhambra
0	ReportID5	HasWeather	stormy
0	ReportID5	HasLowTemp	80F
0	ReportID5	HasHighTemp	100F
0	ReportID5	HasDate	saturday
0	alhambra	IsLocationOf	ReportID5
0	stormy	IsWeatherOf	ReportID5
0	80F	IsLowTempOf	ReportID5
0	100F	IsHighTempOf	ReportID5
0	saturday	IsDateOf	ReportID5
0	ReportID6	HasLocation	alhambra
0	ReportID6	HasWeather	humid
0	ReportID6	HasLowTemp	80F
0	ReportID6	HasHighTemp	90F
0	ReportID6	HasDate	sunday
0	alhambra	IsLocationOf	ReportID6
0	humid	IsWeatherOf	ReportID6
0	80F	IsLowTempOf	ReportID6
0	90F	IsHighTempOf	ReportID6
0	sunday	IsDateOf	ReportID6
1	ReportID7	HasLocation	oakland
1	ReportID7	HasWeather	dew
1	ReportID7	HasLowTemp	30F
1	ReportID7	HasHighTemp	40F
1	ReportID7	HasDate	monday
1	oakland	IsLocationOf	ReportID7
1	dew	IsWeatherOf	ReportID7
1	30F	IsLowTempOf	ReportID7
1	40F	IsHighTempOf	ReportID7
1	monday	IsDateOf	ReportID7
1	ReportID8	HasLocation	oakland
1	ReportID8	HasWeather	rain
1	ReportID8	HasLowTemp	40F
