-1	today	IsEqualTo	monday
0	ReportID0	HasLocation	inglewood
0	ReportID0	HasWeather	cloudy
0	ReportID0	HasLowTemp	90F
0	ReportID0	HasHighTemp	100F
0	ReportID0	HasDate	monday
0	inglewood	IsLocationOf	ReportID0
0	cloudy	IsWeatherOf	ReportID0
0	90F	IsLowTempOf	ReportID0
0	100F	IsHighTempOf	ReportID0
0	monday	IsDateOf	ReportID0
0	ReportID1	HasLocation	inglewood
0	ReportID1	HasWeather	rain
0	ReportID1	HasLowTemp	80F
0	ReportID1	HasHighTemp	90F
0	ReportID1	HasDate	tuesday
0	inglewood	IsLocationOf	ReportID1
0	rain	IsWeatherOf	ReportID1
0	80F	IsLowTempOf	ReportID1
0	90F	IsHighTempOf	ReportID1
0	tuesday	IsDateOf	ReportID1
0	ReportID2	HasLocation	inglewood
0	ReportID2	HasWeather	dry
0	ReportID2	HasLowTemp	30F
0	ReportID2	HasHighTemp	40F
0	ReportID2	HasDate	wednesday
0	inglewood	IsLocationOf	ReportID2
0	dry	IsWeatherOf	ReportID2
0	30F	IsLowTempOf	ReportID2
0	40F	IsHighTempOf	ReportID2
0	wednesday	IsDateOf	ReportID2
0	ReportID3	HasLocation	inglewood
0	ReportID3	HasWeather	rain
0	ReportID3	HasLowTemp	50F
0	ReportID3	HasHighTemp	70F
0	ReportID3	HasDate	thursday
0	inglewood	IsLocationOf	ReportID3
0	rain	IsWeatherOf	ReportID3
0	50F	IsLowTempOf	ReportID3
0	70F	IsHighTempOf	ReportID3
0	thursday	IsDateOf	ReportID3
0	ReportID4	HasLocation	inglewood
0	ReportID4	HasWeather	rain
0	ReportID4	HasLowTemp	70F
0	ReportID4	HasHighTemp	80F
0	ReportID4	HasDate	friday
0	inglewood	IsLocationOf	ReportID4
0	rain	IsWeatherOf	ReportID4
0	70F	IsLowTempOf	ReportID4
0	80F	IsHighTempOf	ReportID4
0	friday	IsDateOf	ReportID4
0	ReportID5	HasLocation	inglewood
0	ReportID5	HasWeather	stormy
0	ReportID5	HasLowTemp	20F
0	ReportID5	HasHighTemp	40F
0	ReportID5	HasDate	saturday
0	inglewood	IsLocationOf	ReportID5
0	stormy	IsWeatherOf	ReportID5
0	20F	IsLowTempOf	ReportID5
0	40F	IsHighTempOf	ReportID5
0	saturday	IsDateOf	ReportID5
0	ReportID6	HasLocation	inglewood
0	ReportID6	HasWeather	clear skies
0	ReportID6	HasLowTemp	30F
0	ReportID6	HasHighTemp	40F
0	ReportID6	HasDate	sunday
0	inglewood	IsLocationOf	ReportID6
0	clear skies	IsWeatherOf	ReportID6
0	30F	IsLowTempOf	ReportID6
0	40F	IsHighTempOf	ReportID6
0	sunday	IsDateOf	ReportID6
1	ReportID7	HasLocation	exeter
1	ReportID7	HasWeather	clear skies
1	ReportID7	HasLowTemp	30F
1	ReportID7	HasHighTemp	40F
1	ReportID7	HasDate	monday
1	exeter	IsLocationOf	ReportID7
1	clear skies	IsWeatherOf	ReportID7
1	30F	IsLowTempOf	ReportID7
1	40F	IsHighTempOf	ReportID7
1	monday	IsDateOf	ReportID7
1	ReportID8	HasLocation	exeter
1	ReportID8	HasWeather	rain
1	ReportID8	HasLowTemp	30F
1	ReportID8	HasHighTemp	40F
1	ReportID8	HasDate	tuesday
1	exeter	IsLocationOf	ReportID8
1	rain	IsWeatherOf	ReportID8
1	30F	IsLowTempOf	ReportID8
1	40F	IsHighTempOf	ReportID8
1	tuesday	IsDateOf	ReportID8
1	ReportID9	HasLocation	exeter
1	ReportID9	HasWeather	rain
1	ReportID9	HasLowTemp	70F
1	ReportID9	HasHighTemp	80F
1	ReportID9	HasDate	wednesday
1	exeter	IsLocationOf	ReportID9
1	rain	IsWeatherOf	ReportID9
1	70F	IsLowTempOf	ReportID9
1	80F	IsHighTempOf	ReportID9
1	wednesday	IsDateOf	ReportID9
1	ReportID10	HasLocation	exeter
1	ReportID10	HasWeather	windy
1	ReportID10	HasLowTemp	60F
1	ReportID10	HasHighTemp	70F
1	ReportID10	HasDate	thursday
1	exeter	IsLocationOf	ReportID10
1	windy	IsWeatherOf	ReportID10
1	60F	IsLowTempOf	ReportID10
1	70F	IsHighTempOf	ReportID10
1	thursday	IsDateOf	ReportID10
1	ReportID11	HasLocation	exeter
1	ReportID11	HasWeather	clear skies
1	ReportID11	HasLowTemp	90F
1	ReportID11	HasHighTemp	100F
1	ReportID11	HasDate	friday
1	exeter	IsLocationOf	ReportID11
1	clear skies	IsWeatherOf	ReportID11
1	90F	IsLowTempOf	ReportID11
1	100F	IsHighTempOf	ReportID11
1	friday	IsDateOf	ReportID11
1	ReportID12	HasLocation	exeter
1	ReportID12	HasWeather	windy
1	ReportID12	HasLowTemp	30F
1	ReportID12	HasHighTemp	50F
1	ReportID12	HasDate	saturday
1	exeter	IsLocationOf	ReportID12
1	windy	IsWeatherOf	ReportID12
1	30F	IsLowTempOf	ReportID12
1	50F	IsHighTempOf	ReportID12
1	saturday	IsDateOf	ReportID12
1	ReportID13	HasLocation	exeter
1	ReportID13	HasWeather	snow
1	ReportID13	HasLowTemp	40F
1	ReportID13	HasHighTemp	50F
1	ReportID13	HasDate	sunday
1	exeter	IsLocationOf	ReportID13
1	snow	IsWeatherOf	ReportID13
1	40F	IsLowTempOf	ReportID13
1	50F	IsHighTempOf	ReportID13
1	sunday	IsDateOf	ReportID13
2	ReportID14	HasLocation	redwood city
2	ReportID14	HasWeather	dry
2	ReportID14	HasLowTemp	80F
2	ReportID14	HasHighTemp	90F
2	ReportID14	HasDate	monday
2	redwood city	IsLocationOf	ReportID14
2	dry	IsWeatherOf	ReportID14
2	80F	IsLowTempOf	ReportID14
2	90F	IsHighTempOf	ReportID14
2	monday	IsDateOf	ReportID14
2	ReportID15	HasLocation	redwood city
2	ReportID15	HasWeather	rain
2	ReportID15	HasLowTemp	40F
2	ReportID15	HasHighTemp	50F
2	ReportID15	HasDate	tuesday
2	redwood city	IsLocationOf	ReportID15
2	rain	IsWeatherOf	ReportID15
2	40F	IsLowTempOf	ReportID15
2	50F	IsHighTempOf	ReportID15
2	tuesday	IsDateOf	ReportID15
2	ReportID16	HasLocation	redwood city
2	ReportID16	HasWeather	rain
2	ReportID16	HasLowTemp	30F
2	ReportID16	HasHighTemp	50F
2	ReportID16	HasDate	wednesday
2	redwood city	IsLocationOf	ReportID16
2	rain	IsWeatherOf	ReportID16
2	30F	IsLowTempOf	ReportID16
2	50F	IsHighTempOf	ReportID16
2	wednesday	IsDateOf	ReportID16
2	ReportID17	HasLocation	redwood city
2	ReportID17	HasWeather	warm
2	ReportID17	HasLowTemp	90F
2	ReportID17	HasHighTemp	100F
2	ReportID17	HasDate	thursday
2	redwood city	IsLocationOf	ReportID17
2	warm	IsWeatherOf	ReportID17
2	90F	IsLowTempOf	ReportID17
2	100F	IsHighTempOf	ReportID17
2	thursday	IsDateOf	ReportID17
2	ReportID18	HasLocation	redwood city
2	ReportID18	HasWeather	rain
2	ReportID18	HasLowTemp	40F
2	ReportID18	HasHighTemp	50F
2	ReportID18	HasDate	friday
