-1	today	IsEqualTo	monday
0	ReportID0	HasLocation	mountain view
0	ReportID0	HasWeather	hot
0	ReportID0	HasLowTemp	70F
0	ReportID0	HasHighTemp	80F
0	ReportID0	HasDate	monday
0	mountain view	IsLocationOf	ReportID0
0	hot	IsWeatherOf	ReportID0
0	70F	IsLowTempOf	ReportID0
0	80F	IsHighTempOf	ReportID0
0	monday	IsDateOf	ReportID0
0	ReportID1	HasLocation	mountain view
0	ReportID1	HasWeather	cloudy
0	ReportID1	HasLowTemp	70F
0	ReportID1	HasHighTemp	80F
0	ReportID1	HasDate	tuesday
0	mountain view	IsLocationOf	ReportID1
0	cloudy	IsWeatherOf	ReportID1
0	70F	IsLowTempOf	ReportID1
0	80F	IsHighTempOf	ReportID1
0	tuesday	IsDateOf	ReportID1
0	ReportID2	HasLocation	mountain view
0	ReportID2	HasWeather	cloudy
0	ReportID2	HasLowTemp	30F
0	ReportID2	HasHighTemp	40F
0	ReportID2	HasDate	wednesday
0	mountain view	IsLocationOf	ReportID2
0	cloudy	IsWeatherOf	ReportID2
0	30F	IsLowTempOf	ReportID2
0	40F	IsHighTempOf	ReportID2
0	wednesday	IsDateOf	ReportID2
0	ReportID3	HasLocation	mountain view
0	ReportID3	HasWeather	warm
0	ReportID3	HasLowTemp	80F
0	ReportID3	HasHighTemp	100F
0	ReportID3	HasDate	thursday
0	mountain view	IsLocationOf	ReportID3
0	warm	IsWeatherOf	ReportID3
0	80F	IsLowTempOf	ReportID3
0	100F	IsHighTempOf	ReportID3
0	thursday	IsDateOf	ReportID3
0	ReportID4	HasLocation	mountain view
0	ReportID4	HasWeather	warm
0	ReportID4	HasLowTemp	50F
0	ReportID4	HasHighTemp	70F
0	ReportID4	HasDate	friday
0	mountain view	IsLocationOf	ReportID4
0	warm	IsWeatherOf	ReportID4
0	50F	IsLowTempOf	ReportID4
0	70F	IsHighTempOf	ReportID4
0	friday	IsDateOf	ReportID4
0	ReportID5	HasLocation	mountain view
0	ReportID5	HasWeather	clear skies
0	ReportID5	HasLowTemp	90F
0	ReportID5	HasHighTemp	100F
0	ReportID5	HasDate	saturday
0	mountain view	IsLocationOf	ReportID5
0	clear skies	IsWeatherOf	ReportID5
0	90F	IsLowTempOf	ReportID5
0	100F	IsHighTempOf	ReportID5
0	saturday	IsDateOf	ReportID5
0	ReportID6	HasLocation	mountain view
0	ReportID6	HasWeather	cloudy
0	ReportID6	HasLowTemp	90F
0	ReportID6	HasHighTemp	100F
0	ReportID6	HasDate	sunday
0	mountain view	IsLocationOf	ReportID6
0	cloudy	IsWeatherOf	ReportID6
0	90F	IsLowTempOf	ReportID6
0	100F	IsHighTempOf	ReportID6
0	sunday	IsDateOf	ReportID6
1	ReportID7	HasLocation	compton
1	ReportID7	HasWeather	drizzle
1	ReportID7	HasLowTemp	80F
1	ReportID7	HasHighTemp	100F
1	ReportID7	HasDate	monday
1	compton	IsLocationOf	ReportID7
1	drizzle	IsWeatherOf	ReportID7
1	80F	IsLowTempOf	ReportID7
1	100F	IsHighTempOf	ReportID7
1	monday	IsDateOf	ReportID7
1	ReportID8	HasLocation	compton
1	ReportID8	HasWeather	foggy
1	ReportID8	HasLowTemp	40F
1	ReportID8	HasHighTemp	50F
1	ReportID8	HasDate	tuesday
1	compton	IsLocationOf	ReportID8
1	foggy	IsWeatherOf	ReportID8
1	40F	IsLowTempOf	ReportID8
1	50F	IsHighTempOf	ReportID8
1	tuesday	IsDateOf	ReportID8
1	ReportID9	HasLocation	compton
1	ReportID9	HasWeather	drizzle
1	ReportID9	HasLowTemp	20F
1	ReportID9	HasHighTemp	30F
1	ReportID9	HasDate	wednesday
1	compton	IsLocationOf	ReportID9
1	drizzle	IsWeatherOf	ReportID9
1	20F	IsLowTempOf	ReportID9
1	30F	IsHighTempOf	ReportID9
1	wednesday	IsDateOf	ReportID9
1	ReportID10	HasLocation	compton
1	ReportID10	HasWeather	foggy
1	ReportID10	HasLowTemp	70F
1	ReportID10	HasHighTemp	80F
1	ReportID10	HasDate	thursday
1	compton	IsLocationOf	ReportID10
1	foggy	IsWeatherOf	ReportID10
1	70F	IsLowTempOf	ReportID10
1	80F	IsHighTempOf	ReportID10
1	thursday	IsDateOf	ReportID10
1	ReportID11	HasLocation	compton
1	ReportID11	HasWeather	humid
1	ReportID11	HasLowTemp	80F
1	ReportID11	HasHighTemp	90F
1	ReportID11	HasDate	friday
1	compton	IsLocationOf	ReportID11
1	humid	IsWeatherOf	ReportID11
1	80F	IsLowTempOf	ReportID11
1	90F	IsHighTempOf	ReportID11
1	friday	IsDateOf	ReportID11
1	ReportID12	HasLocation	compton
1	ReportID12	HasWeather	clear skies
1	ReportID12	HasLowTemp	90F
1	ReportID12	HasHighTemp	100F
1	ReportID12	HasDate	saturday
1	compton	IsLocationOf	ReportID12
1	clear skies	IsWeatherOf	ReportID12
1	90F	IsLowTempOf	ReportID12
1	100F	IsHighTempOf	ReportID12
1	saturday	IsDateOf	ReportID12
1	ReportID13	HasLocation	compton
1	ReportID13	HasWeather	hot
1	ReportID13	HasLowTemp	80F
1	ReportID13	HasHighTemp	100F
1	ReportID13	HasDate	sunday
1	compton	IsLocationOf	ReportID13
1	hot	IsWeatherOf	ReportID13
1	80F	IsLowTempOf	ReportID13
1	100F	IsHighTempOf	ReportID13
1	sunday	IsDateOf	ReportID13
2	ReportID14	HasLocation	grand rapids
2	ReportID14	HasWeather	clear skies
2	ReportID14	HasLowTemp	60F
2	ReportID14	HasHighTemp	80F
2	ReportID14	HasDate	monday
2	grand rapids	IsLocationOf	ReportID14
2	clear skies	IsWeatherOf	ReportID14
2	60F	IsLowTempOf	ReportID14
2	80F	IsHighTempOf	ReportID14
2	monday	IsDateOf	ReportID14
2	ReportID15	HasLocation	grand rapids
2	ReportID15	HasWeather	stormy
2	ReportID15	HasLowTemp	90F
2	ReportID15	HasHighTemp	100F
2	ReportID15	HasDate	tuesday
2	grand rapids	IsLocationOf	ReportID15
2	stormy	IsWeatherOf	ReportID15
2	90F	IsLowTempOf	ReportID15
2	100F	IsHighTempOf	ReportID15
2	tuesday	IsDateOf	ReportID15
2	ReportID16	HasLocation	grand rapids
2	ReportID16	HasWeather	clear skies
2	ReportID16	HasLowTemp	20F
2	ReportID16	HasHighTemp	40F
2	ReportID16	HasDate	wednesday
2	grand rapids	IsLocationOf	ReportID16
2	clear skies	IsWeatherOf	ReportID16
2	20F	IsLowTempOf	ReportID16
2	40F	IsHighTempOf	ReportID16
2	wednesday	IsDateOf	ReportID16
2	ReportID17	HasLocation	grand rapids
2	ReportID17	HasWeather	humid
2	ReportID17	HasLowTemp	60F
2	ReportID17	HasHighTemp	80F
2	ReportID17	HasDate	thursday
2	grand rapids	IsLocationOf	ReportID17
2	humid	IsWeatherOf	ReportID17
2	60F	IsLowTempOf	ReportID17
2	80F	IsHighTempOf	ReportID17
2	thursday	IsDateOf	ReportID17
2	ReportID18	HasLocation	grand rapids
2	ReportID18	HasWeather	windy
2	ReportID18	HasLowTemp	50F
2	ReportID18	HasHighTemp	60F
2	ReportID18	HasDate	friday
2	grand rapids	IsLocationOf	ReportID18
2	windy	IsWeatherOf	ReportID18
2	50F	IsLowTempOf	ReportID18
2	60F	IsHighTempOf	ReportID18
2	friday	IsDateOf	ReportID18
2	ReportID19	HasLocation	grand rapids
2	ReportID19	HasWeather	foggy
2	ReportID19	HasLowTemp	70F
2	ReportID19	HasHighTemp	90F
2	ReportID19	HasDate	saturday
2	grand rapids	IsLocationOf	ReportID19
2	foggy	IsWeatherOf	ReportID19
2	70F	IsLowTempOf	ReportID19
2	90F	IsHighTempOf	ReportID19
2	saturday	IsDateOf	ReportID19
2	ReportID20	HasLocation	grand rapids
2	ReportID20	HasWeather	overcast
2	ReportID20	HasLowTemp	40F
2	ReportID20	HasHighTemp	60F
2	ReportID20	HasDate	sunday
2	grand rapids	IsLocationOf	ReportID20
2	overcast	IsWeatherOf	ReportID20
2	40F	IsLowTempOf	ReportID20
2	60F	IsHighTempOf	ReportID20
2	sunday	IsDateOf	ReportID20
3	ReportID21	HasLocation	san francisco
3	ReportID21	HasWeather	dry
3	ReportID21	HasLowTemp	40F
3	ReportID21	HasHighTemp	50F
3	ReportID21	HasDate	monday
3	san francisco	IsLocationOf	ReportID21
3	dry	IsWeatherOf	ReportID21
3	40F	IsLowTempOf	ReportID21
3	50F	IsHighTempOf	ReportID21
3	monday	IsDateOf	ReportID21
3	ReportID22	HasLocation	san francisco
3	ReportID22	HasWeather	humid
3	ReportID22	HasLowTemp	80F
3	ReportID22	HasHighTemp	100F
3	ReportID22	HasDate	tuesday
3	san francisco	IsLocationOf	ReportID22
3	humid	IsWeatherOf	ReportID22
3	80F	IsLowTempOf	ReportID22
3	100F	IsHighTempOf	ReportID22
3	tuesday	IsDateOf	ReportID22
3	ReportID23	HasLocation	san francisco
3	ReportID23	HasWeather	blizzard
3	ReportID23	HasLowTemp	40F
3	ReportID23	HasHighTemp	60F
3	ReportID23	HasDate	wednesday
3	san francisco	IsLocationOf	ReportID23
3	blizzard	IsWeatherOf	ReportID23
3	40F	IsLowTempOf	ReportID23
3	60F	IsHighTempOf	ReportID23
3	wednesday	IsDateOf	ReportID23
3	ReportID24	HasLocation	san francisco
3	ReportID24	HasWeather	overcast
3	ReportID24	HasLowTemp	50F
3	ReportID24	HasHighTemp	70F
3	ReportID24	HasDate	thursday
3	san francisco	IsLocationOf	ReportID24
3	overcast	IsWeatherOf	ReportID24
3	50F	IsLowTempOf	ReportID24
3	70F	IsHighTempOf	ReportID24
3	thursday	IsDateOf	ReportID24
3	ReportID25	HasLocation	san francisco
3	ReportID25	HasWeather	windy
3	ReportID25	HasLowTemp	30F
3	ReportID25	HasHighTemp	50F
3	ReportID25	HasDate	friday
3	san francisco	IsLocationOf	ReportID25
3	windy	IsWeatherOf	ReportID25
3	30F	IsLowTempOf	ReportID25
3	50F	IsHighTempOf	ReportID25
3	friday	IsDateOf	ReportID25
3	ReportID26	HasLocation	san francisco
3	ReportID26	HasWeather	foggy
3	ReportID26	HasLowTemp	20F
3	ReportID26	HasHighTemp	30F
3	ReportID26	HasDate	saturday
3	san francisco	IsLocationOf	ReportID26
3	foggy	IsWeatherOf	ReportID26
3	20F	IsLowTempOf	ReportID26
3	30F	IsHighTempOf	ReportID26
3	saturday	IsDateOf	ReportID26
3	ReportID27	HasLocation	san francisco
3	ReportID27	HasWeather	cloudy
3	ReportID27	HasLowTemp	60F
3	ReportID27	HasHighTemp	80F
3	ReportID27	HasDate	sunday
3	san francisco	IsLocationOf	ReportID27
3	cloudy	IsWeatherOf	ReportID27
3	60F	IsLowTempOf	ReportID27
